Order	Color	Category	TermID	Term	RelCount	Count	PValue	FoldEnrichment	Cluster	Direction	EnrichmentScore
1	Red	UP_KW_BIOLOGICAL_PROCESS	KW-0037	Angiogenesis (BP) 	1.537216828	19	0.010025728	1.899928948	1	1	NA
2	Red	UP_KW_BIOLOGICAL_PROCESS	KW-0115	cAMP Biosynthesis (BP)	0.323624595	4	0.043284124	4.839819005	1	1	NA
3	Red	KEGG_PATHWAY	mmu00562	Inositol Phosphate Metabolism (PW)	1.294498382	16	2.76E-04	2.901382488	1	1	NA
4	Red	KEGG_PATHWAY	mmu04913	Ovarian Steroidogenesis (PW)	0.809061489	10	0.002207034	3.34040747	1	1	NA
5	Red	KEGG_PATHWAY	mmu04510	Focal Adhesion (PW)	2.103559871	26	0.009188599	1.701197207	1	1	NA
6	Red	KEGG_PATHWAY	mmu04070	Phosphatidylinositol Signaling System (PW)	1.618122977	20	6.36E-05	2.789790854	1	1	2.116081113
7	Red	KEGG_PATHWAY	mmu04923	Regulation of Lipolysis in Adipocytes (PW)	0.809061489	10	0.011257663	2.644489247	1	1	NA
8	Red	KEGG_PATHWAY	mmu04929	GnRH Secretion (PW) 	0.889967638	11	0.017442302	2.327150538	1	1	NA
9	Red	KEGG_PATHWAY	mmu04935	Growth Hormone Synthesis, Secretion and Action (PW)	1.294498382	16	0.019518388	1.898100693	1	1	NA
10	Red	KEGG_PATHWAY	mmu04014	Ras Signaling Pathway (PW)	2.103559871	26	0.02088478	1.586693548	1	1	NA
11	Red	KEGG_PATHWAY	mmu05222	Small Cell Lung Cancer (PW)	1.132686084	14	0.022821417	1.974551971	1	1	NA
12	Red	KEGG_PATHWAY	mmu04211	Longevity Regulating Pathway (PW)	1.051779935	13	0.027904557	1.988146133	1	1	NA
13	Red	KEGG_PATHWAY	mmu04664	Fc Epsilon RI Signaling Pathway (PW)	0.809061489	10	0.029172579	2.266705069	1	1	NA
14	Red	KEGG_PATHWAY	mmu04213	Longevity Regulating Pathway - Multiple Species (PW)	0.809061489	10	0.032329834	2.226938314	1	1	NA
15	Red	KEGG_PATHWAY	mmu04930	Type II Diabetes Mellitus (PW)	0.647249191	8	0.034230448	2.538709677	1	1	NA
16	Red	KEGG_PATHWAY	mmu04062	Chemokine Signaling Pathway (PW)	1.537216828	19	0.038841317	1.640662717	1	1	NA
17	Red	KEGG_PATHWAY	mmu04015	Rap1 Signaling Pathway (PW)	2.588996764	32	1.08E-04	2.083043838	1	1	NA
18	Red	UP_KW_MOLECULAR_FUNCTION	KW-0344	Guanine-Nucleotide Releasing Factor (MF)	2.103559871	26	5.27E-04	2.09408805	NA	1	NA
19	Red	UP_KW_MOLECULAR_FUNCTION	KW-0223	Dioxygenase (MF)	1.294498382	16	0.001372552	2.510395265	NA	1	NA
20	Red	UP_KW_MOLECULAR_FUNCTION	KW-0156	Chromatin Regulator (MF)	3.074433657	38	0.003740681	1.610836962	NA	1	NA
21	Red	UP_KW_MOLECULAR_FUNCTION	KW-0734	Signal Transduction Inhibitor (MF)	0.647249191	8	0.043335332	2.416255443	NA	1	NA
22	Red	KEGG_PATHWAY	mmu00062	Fatty Acid Elongation (PW)	0.566343042	7	0.016334961	3.290919952	NA	1	NA
23	Blue	UP_KW_MOLECULAR_FUNCTION	KW-0560	Oxidoreductase (MF)	3.868360277	67	0.001342531	1.459571216	2	-1	NA
24	Blue	UP_KW_BIOLOGICAL_PROCESS	KW-0443	Lipid Metabolism (BP)	4.272517321	74	0.012096527	1.30683104	2	-1	NA
