"P16"	"P24"	"P30"	"P90"
"Manf"	0.0472736554051489	-0.0289890918208899	-0.265938	0.252709373981242
"Dnajb1"	0.0516273068042339	-0.142525979056871	-0.06584225	0.0596660449888465
"Chordc1"	0.0179038657282474	-0.0298472715956807	0.01401727	0.032898420814692
"Hif3a"	0.0403733116608641	0.0273822052175965	-0.0831267	0.0330290878564335
"Hspb8"	-0.0482758928721517	-0.0766829355921476	-0.08303618	0.0509606175938906
"Xbp1"	0.102319609151455	-0.131458176873565	-0.235579359862274	-0.215080778263971
"Fam107a"	0.00751305710218202	-0.0097155894475181	-0.006304762	0.00740772280687548
"Ahsa2"	-0.053636554945085	-0.0898041084895188	-0.08004695	-0.442984186986539
"Hspb1"	0.203790749133198	-0.669421799008074	-0.199783694703304	0.137760628667904
"Hsph1"	0.0947985469733802	-0.293219295314996	-0.51266047220121	0.168050824702228
"Dnajc3"	0.00796809523553485	-0.0679059348053606	0.007896315	-0.0779231585294243
"Hsp90b1"	0.0432776910981976	0.0798920618817232	-0.05459251	0.439449392553013
"Sgk1"	0.158910570326021	-0.16044101898923	-0.0951078868564232	0.344165464568283
"Ier5"	0.337884130476682	0.532073043786471	-0.989259460905356	0.734274065996535
"Hspa8"	0.0680361425149002	-0.65924801344199	-0.0883245035548616	0.117274446232817
"Mapk11"	0.133014812566743	-0.262561018250363	0.392293088363048	0.361613750540053
"Hyou1"	0.0785744426738364	0.103626543299883	-0.207810981543461	0.112110964051615
"Casp9"	-0.0962644283458429	-0.101544353564804	0.119576329429912	0.173101174221173
"Casp7"	-0.281810420242573	-0.492452197720413	0.287262407621929	0.657507549895869
"Casp3"	-0.100876507718797	0.69847964155754	-0.151794106635382	-0.188524375660152
"Bbc3"	-0.172166164592601	0.0745392398265671	-0.117395000290812	-0.694178875872575
"Bid"	0.0340055747711357	0.0261671175961653	0.2538078	-0.0530112655551509
"Htra2"	0.0340311386360427	-0.0474156247240266	0.05577261	0.0578878173929188
"Mapk9"	-0.0200278690644765	-0.0922787780206622	-0.1559309	0.100912999173541
