EnsembleID	Symbol
ENSMUSG00000032575	Manf
ENSMUSG00000005483	Dnajb1
ENSMUSG00000001774	Chordc1
ENSMUSG00000004328	Hif3a
ENSMUSG00000041548	Hspb8
ENSMUSG00000020484	Xbp1
ENSMUSG00000021750	Fam107a
ENSMUSG00000020288	Ahsa2
ENSMUSG00000004951	Hspb1
ENSMUSG00000029657	Hsph1
ENSMUSG00000022136	Dnajc3
ENSMUSG00000020048	Hsp90b1
ENSMUSG00000019970	Sgk1
ENSMUSG00000056708	Ier5
ENSMUSG00000015656	Hspa8
ENSMUSG00000053137	Mapk11
ENSMUSG00000032115	Hyou1

ENSMUSG00000020038	Cry1
ENSMUSG00000026077	Npas2
ENSMUSG00000020893	Per1
ENSMUSG00000028944	Prkag2
ENSMUSG00000055866	Per2
ENSMUSG00000030103	Bhlhe40






