EnsembleID	Symbol
ENSMUSG00000032575	Manf
ENSMUSG00000005483	Dnajb1
ENSMUSG00000001774	Chordc1
ENSMUSG00000004328	Hif3a
ENSMUSG00000041548	Hspb8
ENSMUSG00000020484	Xbp1
ENSMUSG00000021750	Fam107a
ENSMUSG00000020288	Ahsa2
ENSMUSG00000004951	Hspb1
ENSMUSG00000029657	Hsph1
ENSMUSG00000022136	Dnajc3
ENSMUSG00000020048	Hsp90b1
ENSMUSG00000019970	Sgk1
ENSMUSG00000056708	Ier5
ENSMUSG00000015656	Hspa8
ENSMUSG00000053137	Mapk11
ENSMUSG00000032115	Hyou1

ENSMUSG00000020038	Cry1
ENSMUSG00000026077	Npas2
ENSMUSG00000020893	Per1
ENSMUSG00000028944	Prkag2
ENSMUSG00000055866	Per2
ENSMUSG00000030103	Bhlhe40

ENSMUSG00000032575	Manf
ENSMUSG00000031770	Herpud1
ENSMUSG00000026663	Atf6
ENSMUSG00000020484	Xbp1
ENSMUSG00000038648	Creb3l2
ENSMUSG00000022136	Dnajc3

ENSMUSG00000004460	Dnajb11
ENSMUSG00000005483	Dnajb1
ENSMUSG00000031770	Herpud1
ENSMUSG00000025130	P4hb
ENSMUSG00000027248	Pdia3
ENSMUSG00000003402	Prkcsh
ENSMUSG00000026740	Dnajc1
ENSMUSG00000026663	Atf6
ENSMUSG00000021484	Lman2
ENSMUSG00000020571	Pdia6
ENSMUSG00000020484	Xbp1
ENSMUSG00000026864	Hspa5
ENSMUSG00000029657	Hsph1
ENSMUSG00000022136	Dnajc3
ENSMUSG00000020048	Hsp90b1
ENSMUSG00000025823	Pdia4
ENSMUSG00000009293	Ube2g2
ENSMUSG00000024807	Syvn1
ENSMUSG00000003814	Calr
ENSMUSG00000015656	Hspa8
ENSMUSG00000032437	Stt3b
ENSMUSG00000057329	Bcl2
ENSMUSG00000032115	Hyou1

ENSMUSG00000036390	Gadd45a
ENSMUSG00000024778	Fas
ENSMUSG00000040782	Cop1
ENSMUSG00000000184	Ccnd2
ENSMUSG00000020427	Igfbp3
ENSMUSG00000034165	Ccnd3
ENSMUSG00000020184	Mdm2
ENSMUSG00000007659	Bcl2l1
ENSMUSG00000057329	Bcl2

ENSMUSG00000000184	Ccnd2
ENSMUSG00000034957	Cebpa
ENSMUSG00000020184	Mdm2
ENSMUSG00000007659	Bcl2l1
ENSMUSG00000005533	Igf1r
ENSMUSG00000061589	Dot1l
ENSMUSG00000029313	Aff1
ENSMUSG00000036390	Gadd45a
ENSMUSG00000066687	Zbtb16
ENSMUSG00000020427	Igfbp3
ENSMUSG00000022607	Ptk2
ENSMUSG00000022508	Bcl6
ENSMUSG00000031538	Plat
ENSMUSG00000037992	Rara
ENSMUSG00000013089	Etv5
ENSMUSG00000035356	Nfkbiz
ENSMUSG00000055866	Per2





