EnsembleID	Symbol
ENSMUSG00000020654	Adcy3
ENSMUSG00000005580	Adcy9
ENSMUSG00000022220	Adcy4
ENSMUSG00000022994	Adcy6

ENSMUSG00000021226	Acot2
ENSMUSG00000020654	Adcy3
ENSMUSG00000021228	Acot3
ENSMUSG00000005580	Adcy9
ENSMUSG00000024087	Cyp1b1
ENSMUSG00000098488	Pla2g4b
ENSMUSG00000072949	Acot1
ENSMUSG00000022220	Adcy4
ENSMUSG00000015224	Cyp2j9
ENSMUSG00000022994	Adcy6

ENSMUSG00000021226	Acot2
ENSMUSG00000021228	Acot3
ENSMUSG00000015474	Ppt2
ENSMUSG00000059447	Hadhb
ENSMUSG00000032262	Elovl4
ENSMUSG00000072949	Acot1
ENSMUSG00000032349	Elovl5

