"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSMUSG00000002831"	4.73029534442942	1.97808139770342	658.863727314482	6.41525000130575e-29	1.20138386774453e-24
"ENSMUSG00000038059"	1.55776736001493	3.32660091518673	414.184703957913	1.07768709436382e-25	1.00909231080756e-21
"ENSMUSG00000028655"	1.31394038364746	4.77182860165548	378.063725205872	8.24163225392809e-25	5.14470157397705e-21
"ENSMUSG00000031431"	1.42497899452944	6.149941179354	366.424749051787	1.19125186347549e-23	5.57714341182639e-20
"ENSMUSG00000040055"	0.967798837114005	5.5439364321409	268.989522074708	1.20378796860568e-21	4.50866745761571e-18
"ENSMUSG00000004328"	1.64518018018608	3.46876085889928	275.047070347135	1.87377642975276e-21	5.84836853332999e-18
"ENSMUSG00000074170"	1.55887136158429	1.31572684221842	259.688306532316	2.5131017986676e-21	6.50825440460948e-18
"ENSMUSG00000048826"	-0.835060082740979	5.73855034474189	258.433103926101	2.78026567185752e-21	6.50825440460948e-18
"ENSMUSG00000006205"	0.742465761447314	6.88975975772197	252.23147972426	4.60826742112584e-21	8.74784734269734e-18
"ENSMUSG00000045193"	-0.994412608642216	5.41662898003762	252.82958787018	4.67124864777986e-21	8.74784734269734e-18
"ENSMUSG00000049892"	1.85413439621475	2.43087281437814	229.940879731898	3.92079959478541e-20	6.67498309195876e-17
"ENSMUSG00000105843"	2.49153294459552	1.91803647936275	227.545891051203	1.52210057023755e-19	2.37536478156988e-16
"ENSMUSG00000024883"	0.583356689788985	6.29793445083863	211.25369407105	1.73209119658749e-19	2.49514398757646e-16
"ENSMUSG00000041957"	1.38090802480299	2.56699389765969	202.341363420317	4.11167490615642e-19	5.49995256911366e-16
"ENSMUSG00000097343"	-0.929147510346506	2.55851916211965	186.629666129056	2.04022061939537e-18	2.54714743596114e-15
"ENSMUSG00000030168"	0.546473473879926	5.82297398166691	185.252486558397	2.35971127745375e-18	2.6463557891945e-15
"ENSMUSG00000024175"	3.07249770172527	-0.19052342596779	185.083680494627	2.40230941508552e-18	2.6463557891945e-15
"ENSMUSG00000030711"	1.67254807967699	3.25472861134444	197.935488703955	2.58390553841097e-18	2.68826661210123e-15
"ENSMUSG00000042834"	-0.772557000075016	6.38728552775467	180.069295836891	4.11190098288633e-18	3.97751614248784e-15
"ENSMUSG00000017009"	0.920054361698069	5.11830841255297	182.729276428858	4.24789463607394e-18	3.97751614248784e-15
"ENSMUSG00000060166"	-0.609118855799398	6.65912313845837	170.425082959002	1.19609014976708e-17	1.06662763022325e-14
"ENSMUSG00000024222"	1.4824122727659	5.23371523976745	193.624301364361	1.4902172619522e-17	1.26183394111692e-14
"ENSMUSG00000001143"	0.417857048704052	5.31784706593695	168.147566981158	1.54975066191537e-17	1.26183394111692e-14
"ENSMUSG00000023067"	1.30419264279085	5.12819691935174	186.425049865885	1.65248063561161e-17	1.28941686929578e-14
"ENSMUSG00000021203"	0.718421974182277	5.31442567586162	162.031644083875	3.15012656979233e-17	2.35969681090004e-14
"ENSMUSG00000040605"	-1.61496368568339	1.88970548288141	160.158429508826	3.93080410531227e-17	2.8312372492378e-14
"ENSMUSG00000040447"	0.659376123952157	5.66858317631004	158.549782005223	4.76154474044827e-17	3.30257216127314e-14
"ENSMUSG00000028645"	0.983889494346895	6.40531214569974	169.334944083181	5.07716045329404e-17	3.31059215939398e-14
"ENSMUSG00000031700"	0.668294780519711	5.8616690573018	157.933198350555	5.12667125660412e-17	3.31059215939398e-14
"ENSMUSG00000001768"	0.790222134257974	4.89340834630758	157.432568327949	5.44451905043927e-17	3.39865027525254e-14
"ENSMUSG00000030413"	1.37801313121928	2.54917483240111	154.713431498001	7.56785007503227e-17	4.5717138179074e-14
"ENSMUSG00000025795"	-0.855551810543515	5.14893770641515	154.402236649843	1.08247311028455e-16	6.33483560509339e-14
"ENSMUSG00000089809"	-0.704721188059173	5.89652461829866	148.098349824944	1.71818030383401e-16	9.7153048818497e-14
"ENSMUSG00000024066"	1.73997686275178	2.15106129568328	153.924379939294	1.76387230193245e-16	9.7153048818497e-14
"ENSMUSG00000086040"	0.700318800881174	7.27131847494386	147.708398885194	1.8389386714452e-16	9.8393727143298e-14
"ENSMUSG00000032482"	-0.407534292016219	8.12551409077176	144.792362581159	2.61555920478526e-16	1.36059936744482e-13
"ENSMUSG00000021071"	0.36291618290704	8.63113334330476	143.23267694057	3.19706855364329e-16	1.61814872443454e-13
"ENSMUSG00000021624"	-1.39441323247879	1.00115367295097	142.803667313281	3.37954853964881e-16	1.66549488163167e-13
"ENSMUSG00000036915"	0.8533668882799	3.16579259515576	142.055454718362	3.72419210602378e-16	1.78828065562839e-13
"ENSMUSG00000035606"	1.08648707869832	2.18722148096525	136.975163225754	7.27541661361652e-16	3.40616817307991e-13
"ENSMUSG00000104415"	1.65590356982076	1.75788977755318	137.76975795798	7.63930107690843e-16	3.48929734798205e-13
"ENSMUSG00000027333"	0.639327190237607	5.05536663989996	134.252565917874	1.04960075345912e-15	4.67996983572119e-13
"ENSMUSG00000039671"	0.52066532821285	7.38155118593515	133.619039585179	1.14393732345027e-15	4.98198005959375e-13
"ENSMUSG00000015468"	0.950686867256471	3.1162697082367	132.994884348508	1.24553324868795e-15	5.30115935185893e-13
"ENSMUSG00000014361"	0.701196988901024	5.60195870061224	132.819255581908	1.43273354414331e-15	5.96240024026041e-13
"ENSMUSG00000034165"	0.559029709545886	3.95443762669601	129.657344218432	1.97308441952587e-15	8.03259824444805e-13
